ID;EAN;ItemGroup;Supplier;Price;Pieces;Colour
10000;62094332562600;pies;Aliquet Molestie Consulting;675.36;8;blue
10001;33383130973637;pasta;Nascetur Ridiculus Corporation;587.30;14;red
10002;53848625450711;sandwiches;Adipiscing Fringilla Porttitor Associates;852.44;30;red
10003;88896243058363;seafood;Vulputate Posuere Vulputate Institute;336.90;16;indigo
10004;15293541025462;noodles;Velit Egestas Lacinia Corporation;835.30;61;blue
10005;25577666403791;sandwiches;Maecenas Ornare LLC;617.22;11;yellow
10006;55328556787653;pasta;Nullam Incorporated;372.11;71;violet
10007;96259753539572;soups;Erat Inc.;423.77;53;indigo
10008;35792800293716;sandwiches;Eget Lacus Company;561.91;75;violet
10009;99984094162350;pasta;Nec Malesuada Limited;236.69;59;blue
10010;84475349897236;desserts;Sem Ut Cursus LLP;93.19;89;indigo
10011;29341248345176;desserts;Nisl Foundation;807.98;79;indigo
10012;59593545164404;pasta;Mi Ac Inc.;135.07;49;orange
10013;30465971380305;salads;Quis Pede Suspendisse Corporation;898.13;89;yellow
10014;52412029358059;soups;Mi Felis Institute;902.62;90;indigo
10015;21662606279403;pasta;A Foundation;764.75;99;green
10016;35600457534192;pasta;Ut LLC;946.26;93;blue
10017;52331338845901;pies;Vivamus LLP;805.17;18;orange
10018;35054450857256;desserts;Suscipit Nonummy Limited;405.95;35;orange
10019;40620004629587;noodles;Amet Lorem Semper Incorporated;528.83;50;yellow
10020;81551915421661;noodles;Viverra Donec PC;689.46;41;orange
10021;66653533118006;pasta;Adipiscing Ltd;443.87;49;yellow
10022;80802422505360;pasta;Dolor Fusce Corporation;692.33;88;violet
10023;88242568494603;salads;Congue Elit LLP;698.01;12;indigo
10024;73177957733403;soups;Magna Associates;817.17;40;blue
10025;69631766524384;cereals;Ut Quam LLP;86.05;51;red
10026;15039689906343;stews;Aliquam Eros Turpis Institute;613.29;58;blue
10027;63528480629613;seafood;Id Magna Et Ltd;906.96;86;yellow
10028;18941394469723;desserts;Ullamcorper Velit Incorporated;31.07;18;violet
10029;58780055640478;seafood;Eget Metus In Inc.;206.23;46;yellow
10030;90127562318980;salads;Auctor Institute;190.33;20;red
10031;35964487038271;pies;Est Inc.;40.11;58;yellow
10032;15351079195806;pies;Congue Turpis Incorporated;956.04;61;green
10033;71598649215354;pies;Luctus Corporation;211.88;12;green
10034;46873001705783;salads;Ut Lacus Associates;21.94;12;red
10035;30232807061317;pies;Ornare Libero At Consulting;435.02;10;yellow
10036;17792184351523;pasta;Iaculis Aliquet Diam Consulting;914.17;6;red
10037;36412370108701;pies;Nec Ante Blandit Ltd;164.35;48;indigo
10038;16135790517096;seafood;Aliquet Nec PC;31.69;35;green
10039;68523986815754;cereals;Consectetuer Cursus Corporation;365.65;58;green
10040;73010760009912;sandwiches;Ipsum Non Associates;650.38;89;violet
10041;83657316836189;desserts;Neque Sed Sem LLC;255.39;9;red
10042;63861464559313;pies;Congue A Aliquet Foundation;702.77;79;violet
10043;90341029649272;soups;Porttitor Scelerisque Corp.;929.96;36;indigo
10044;18174393371489;cereals;Neque LLC;476.74;79;indigo
10045;31485662603829;noodles;Non Corporation;499.25;28;yellow
10046;62808853825076;seafood;In Faucibus Morbi PC;861.22;94;blue
10047;17111903408671;sandwiches;Eget Mollis Institute;929.68;74;red
10048;79025151587424;soups;Nunc Est Mollis PC;270.62;89;orange
10049;63842478422902;stews;Neque Inc.;289.58;34;indigo
10050;44131653503550;cereals;Ut Pellentesque Foundation;567.80;62;red
10051;71104780310626;desserts;Nunc Mauris Corp.;950.19;40;green
10052;37160730008668;soups;Dictum Eu Industries;937.31;52;orange
10053;67164594798360;noodles;Sit Amet Ante Consulting;934.79;88;yellow
10054;20977094615777;stews;Ornare Lectus Ante Corporation;252.70;64;blue
10055;10193480994991;sandwiches;Felis Nulla Tempor Inc.;422.35;32;yellow
10056;58741272325380;seafood;Ridiculus Mus Aenean Ltd;860.29;45;yellow
10057;49995229013695;salads;Gravida Nunc Sed Corp.;115.05;25;blue
10058;24107543929938;noodles;Ultrices Sit Amet PC;619.24;74;blue
10059;69116715396290;desserts;Cursus Nunc Institute;476.91;51;violet
10060;54866708509544;pies;Faucibus Morbi Inc.;197.92;23;violet
10061;19912182341386;pasta;Dui Nec Associates;21.85;45;red
10062;26285764279150;seafood;Erat Consulting;710.28;57;red
10063;86342474906333;pasta;Amet Orci Ut Company;912.41;95;indigo
10064;36309789742915;salads;Curae Donec LLC;402.02;42;red
10065;63101738053754;stews;Tempor Arcu Institute;976.15;67;orange
10066;78485883199496;desserts;Metus Limited;904.72;45;orange
10067;85869633453956;pasta;Arcu Ltd;413.28;93;violet
10068;67616838770442;desserts;Semper LLP;541.10;75;green
10069;68177872797416;pasta;Euismod Foundation;839.98;91;orange
10070;94171952806707;cereals;Aliquam Nec Enim LLC;498.56;52;green
10071;85064384564921;cereals;At Ltd;454.58;79;orange
10072;63884940782449;desserts;Egestas Aliquam Inc.;387.39;13;green
10073;16419209264200;desserts;Sed Neque Company;117.88;1;green
10074;51711079519455;pies;Velit Industries;720.16;50;blue
10075;83031806933183;sandwiches;Primis In Company;748.21;47;yellow
10076;51446038761677;seafood;Integer Ltd;341.41;46;yellow
10077;42601256680728;seafood;Odio Auctor Foundation;356.79;85;orange
10078;13840424851494;desserts;Non PC;730.26;79;blue
10079;91730762023111;sandwiches;Mi Pede Ltd;980.98;4;blue
10080;87943408221476;pies;Placerat Cras Corp.;237.92;16;green
10081;77468975117030;pasta;Ac Tellus PC;928.41;16;yellow
10082;46344361255567;noodles;Eu Dui Foundation;16.24;75;red
10083;49702560385280;noodles;Scelerisque Incorporated;101.32;61;yellow
10084;58757618003701;cereals;Turpis Aliquam PC;351.93;83;yellow
10085;55474695876535;cereals;Accumsan Interdum Inc.;151.07;85;yellow
